cell,pseudotime,celltype,UMAP_1,UMAP_2
211,0.473613952328648,Tumor Epithelial,-7.186856493,-2.80116944
212,3.44119698588915,Tumor Epithelial,-4.456497416,-1.75431256
213,17.8789359096485,Tumor Cells(Dedifferentiated),8.40901578992369,2.47736786277817
215,1.99538979036956,Tumor Epithelial,-5.887853846,-1.981875465
216,1.65122072255013,Tumor Epithelial,-5.905061945,-3.065303847
217,3.35890325657559,Tumor Epithelial,-4.279800638,-2.756765887
218,1.2670108614097,Tumor Epithelial,-6.882470354,-1.365120456
224,2.9754574075257,Tumor Epithelial,-4.600543245,-3.040990398
229,1.00250955452501,Tumor Epithelial,-6.470551714,-3.202557132
231,2.23673745314467,Tumor Epithelial,-5.923547968,-0.971528575
232,20.875852929982,Stressed Tumor (p53+),5.21643807023527,3.19026453764961
234,1.04194732735634,Tumor Epithelial,-7.366548761,-0.771030471
238,2.23101425965922,Tumor Epithelial,-5.679371103,-1.858830497
239,2.06856017331074,Tumor Epithelial,-5.978707537,-1.420066878
242,17.2989489261408,Tumor Cells(Dedifferentiated),9.55626417726042,1.89029096038864
253,16.9867795985446,Tumor Cells(Dedifferentiated),8.44823409646513,1.84491710336731
254,3.31125530391055,Tumor Epithelial,-4.550194964,-1.91016154
259,3.25656210482214,Tumor Epithelial,-5.017482981,-0.338642642
262,20.3617990833388,Stressed Tumor (p53+),5.9836958202696,2.7192721215062
264,3.98762720531339,Tumor Epithelial,-4.233612284,-0.424660966
266,18.4234847355932,Tumor Cells(Dedifferentiated),7.96870864957334,2.92333818944023
267,0.77312113732923,Tumor Epithelial,-6.931756243,-2.638812587
280,3.47536437778733,Tumor Epithelial,-4.73415111,-0.558716581
281,16.9908220010217,Tumor Cells(Dedifferentiated),9.0493588599539,1.38009108574913
282,3.03382952911772,Tumor Epithelial,-4.919323191,-1.594809339
283,20.1457646705789,Stressed Tumor (p53+),6.1766182932234,3.05987121136711
284,17.4571170319154,Tumor Cells(Dedifferentiated),8.81412722199919,2.20541352005528
286,0.527533356007459,Tumor Epithelial,-7.30229114,-2.371747539
292,18.0114935591098,Tumor Cells(Dedifferentiated),8.45979656308653,2.89635951788948
294,20.875852929982,Stressed Tumor (p53+),5.21617223351957,2.12670920761154
295,2.96405569217976,Tumor Epithelial,-4.799613222,-2.326590106
296,17.5454773975698,Tumor Cells(Dedifferentiated),9.08894325822355,2.54258270533608
298,3.28663970930072,Tumor Epithelial,-4.726710543,-1.331848666
301,1.08589000100222,Tumor Epithelial,-6.263168558,-3.517202899
307,1.89493248766517,Tumor Epithelial,-5.706782564,-2.919150874
315,1.04272722800901,Tumor Epithelial,-6.373140558,-3.351526782
325,2.67667324546396,Tumor Epithelial,-5.462192759,-0.940774009
327,3.41017430736001,Tumor Epithelial,-4.175482973,-2.952412173
343,4.1929068776806,Tumor Epithelial,-3.959879145,-0.647380635
344,3.5011622809615,Tumor Epithelial,-4.672685846,-0.691632077
346,1.99077444422381,Tumor Epithelial,-5.83096908,-2.187472388
348,18.008040197783,Tumor Cells(Dedifferentiated),8.56145824521543,3.10445000203179
355,4.36112444133906,Tumor Epithelial,-3.808384165,-0.542398736
359,16.1566302030156,Tumor Cells(Dedifferentiated),7.77897895902159,1.73064218433426
360,18.9552275113583,Tumor Cells(Dedifferentiated),7.41600759356977,3.2836656120591
365,1.44834499574851,Tumor Epithelial,-6.867256388,-0.783383653
367,3.59880183137903,Tumor Epithelial,-4.207883104,-2.08113055
376,4.01304144676966,Stressed Tumor (p53+),-3.769329294,-2.139904544
378,3.62706797336892,Tumor Epithelial,-4.460119471,-1.006712958
391,1.61088577892415,Tumor Epithelial,-6.438514933,-1.528547809
392,3.86148050718054,Tumor Epithelial,-4.214148745,-1.015750215
393,3.0384267680819,Tumor Epithelial,-4.637439951,-2.651544139
396,2.5573266589576,Tumor Epithelial,-5.377551302,-1.726247356
399,2.83815133624678,Tumor Epithelial,-5.275794252,-1.00660424
